{0, {-30.125449434512667, -29.665381386954323}}
{1, {-41.82500000000007, -41.625449434512454}}
{2, {-54.32500000000038, -53.12544943451289}}
{3, {-66.82500000000061, -64.62544943451255}}
{4, {-79.32500000000043, -76.12544943451283}}
{5, {-91.82500000000061, -87.62544943451313}}
{6, {-104.32500000000063, -99.12544943451321}}
{7, {-116.82500000000047, -110.6254494345132}}
{8, {-129.3250000000008, -122.12544943451317}}
{9, {-141.82500000000095, -133.62544943451348}}
{10, {-154.32500000000095, -145.12544943451368}}
{11, {-166.82500000000047, -156.62544943451374}}
{12, {-179.32500000000076, -168.1254494345136}}
{13, {-191.82500000000175, -179.6254494345138}}
{14, {-204.32500000000084, -191.12544943451448}}
{15, {-216.82500000000124, -202.62544943451286}}
