{0., {-8.529422863406033, -8.029422863406076}}
{0.02, {-8.524422863406034, -8.034512547453808}}
{0.04, {-8.519422863406064, -8.03977830393428}}
{0.06, {-8.514422863406029, -8.045215405071618}}
{0.08, {-8.509422863406026, -8.05081939178096}}
{0.1, {-8.504422863406006, -8.056586050698733}}
{0.12, {-8.499422863405988, -8.062511392392654}}
{0.14, {-8.494422863406028, -8.068591631008193}}
{0.16, {-8.489422863406, -8.074823165483279}}
{0.18, {-8.484422863406017, -8.081202562373992}}
{0.2, {-8.479422863405997, -8.087726540269784}}
{0.22, {-8.474422863405998, -8.094391955739285}}
{0.24, {-8.469422863406002, -8.101195790718238}}
{0.26, {-8.464422863406002, -8.108135141239154}}
{0.28, {-8.459422863406001, -8.115207207393498}}
{0.3, {-8.454422863406027, -8.122409284417087}}
{0.32, {-8.449422863406006, -8.129738754790798}}
{0.34, {-8.44442286340601, -8.137193081254805}}
{0.36, {-8.439422863406007, -8.144769800639692}}
{0.38, {-8.434422863405976, -8.152466518424646}}
{0.4, {-8.429422863406009, -8.160280903942377}}
{0.42, {-8.424422863405981, -8.168210686154707}}
{0.44, {-8.419422863405998, -8.176253649932642}}
{0.46, {-8.414422863405955, -8.18440763277984}}
{0.48, {-8.409422863405991, -8.19267052194554}}
{0.5, {-8.404422863406, -8.201040251878453}}
{0.52, {-8.399422863405988, -8.209514801978536}}
{0.54, {-8.394422863405985, -8.218092194609145}}
{0.56, {-8.389422863405988, -8.22677049333492}}
{0.58, {-8.384422863406, -8.235547801356399}}
{0.6, {-8.379422863405981, -8.24442226011501}}
{0.62, {-8.37442286340602, -8.253392048045542}}
{0.64, {-8.369422863406019, -8.262455379455405}}
{0.66, {-8.364422863406018, -8.271610503513806}}
{0.68, {-8.359422863406028, -8.280855703335117}}
{0.7000000000000001, {-8.354422863406002, -8.290189295142753}}
{0.72, {-8.349422863405993, -8.299609627502377}}
{0.74, {-8.344422863405997, -8.309115080613985}}
{0.76, {-8.339422863405996, -8.318704065653973}}
{0.78, {-8.334422863406013, -8.328375024160387}}
{0.8, {-8.3381264274536, -8.32942286340601}}
{0.8200000000000001, {-8.347956776088036, -8.324422863406006}}
{0.84, {-8.35786459932943, -8.31942286340603}}
{0.86, {-8.367848454653725, -8.314422863406048}}
{0.88, {-8.37790692726406, -8.309422863406054}}
{0.9, {-8.388038629623406, -8.304422863406044}}
{0.92, {-8.398242200999327, -8.299422863405992}}
{0.9400000000000001, {-8.408516307020237, -8.294422863406018}}
{0.96, {-8.41885963923987, -8.289422863406052}}
{0.98, {-8.429270914710147, -8.284422863406027}}
{1., {-8.43974887555972, -8.279422863405966}}
