{0., {-3.4952155058424923, -3.4952155058424657, -3.354340984267592, 
  -3.354340984267556, -3.282798111915869, -3.282798111915868, 
  -2.7774137649678767, -2.777413764967874, -2.6670405383133424, 
  -2.667040538313336, -2.5972692345711805, -2.5972692345711574, 
  -2.5637552386674254, -2.5637552386674165, -2.374921629719589, 
  -2.37492162971958, -2.3749216297195774, -2.3749216297195765, 
  -2.3121389734297018, -2.312138973429693, -2.312138973429683, 
  -2.3121389734296804, -1.944599061742889, -1.9445990617428797, 
  -1.9345776451052672, -1.9345776451052648, -1.9345776451052585, 
  -1.8940832474771316, -1.8940832474771199, -1.8917341047694622}}
{0.005, {-3.5077155058424605, -3.4827155058424353, -3.3618409842675727, 
  -3.3468409842675686, -3.28529811191588, -3.28029811191588, 
  -2.7949137649678426, -2.7599137649678447, -2.6795405383133213, 
  -2.654540538313339, -2.604769234571171, -2.5897692345711687, 
  -2.566255238667393, -2.5612552386673952, -2.382421629719585, 
  -2.3824216297195755, -2.367421629719579, -2.367421629719576, 
  -2.3146389734296897, -2.3146389734296857, -2.309638973429691, 
  -2.3096389734296854, -1.95209906174288, -1.9470776451052558, 
  -1.9370990617428694, -1.922077645105256, -1.8992341047694616, 
  -1.8965832474771314, -1.8915832474771204, -1.884234104769465}}
{0.01, {-3.520215505842469, -3.4702155058424453, -3.36934098426758, 
  -3.3393409842675736, -3.2877981119158806, -3.2777981119158794, 
  -2.8124137649678214, -2.742413764967839, -2.692040538313338, 
  -2.6420405383133296, -2.6122692345711656, -2.582269234571166, 
  -2.568755238667391, -2.558755238667395, -2.3899216297195847, 
  -2.3899216297195798, -2.3599216297195724, -2.3599216297195684, 
  -2.317138973429695, -2.3171389734296937, -2.3071389734296894, 
  -2.3071389734296703, -1.9595990617428767, -1.95957764510526, 
  -1.9295990617428769, -1.9095776451052584, -1.9067341047694604, 
  -1.8990832474771153, -1.8890832474771166, -1.8767341047694603}}
{0.015, {-3.5327155058424444, -3.457715505842427, -3.376840984267556, 
  -3.331840984267574, -3.2902981119158783, -3.2752981119158737, 
  -2.8299137649678854, -2.724913764967844, -2.704540538313309, 
  -2.6295405383133468, -2.6197692345711716, -2.5747692345711672, 
  -2.571255238667391, -2.5562552386674016, -2.397421629719583, 
  -2.3974216297195667, -2.352421629719581, -2.352421629719566, 
  -2.319638973429699, -2.319638973429684, -2.3046389734296953, 
  -2.304638973429689, -1.9720776451052706, -1.9720776451052602, 
  -1.9670990617428794, -1.922099061742886, -1.9142341047694722, 
  -1.9142341047694649, -1.9015832474771253, -1.8970776451052682}}
{0.02, {-3.5452155058424593, -3.4452155058424627, -3.384340984267574, 
  -3.324340984267565, -3.292798111915873, -3.2727981119158693, 
  -2.847413764967935, -2.7170405383133325, -2.7074137649678587, 
  -2.6272692345711786, -2.6170405383133333, -2.573755238667388, 
  -2.5672692345711616, -2.553755238667395, -2.4049216297195883, 
  -2.404921629719577, -2.3449216297195794, -2.3449216297195687, 
  -2.3221389734296927, -2.3221389734296927, -2.302138973429698, 
  -2.3021389734296873, -1.9845776451052743, -1.9845776451052577, 
  -1.9745990617428766, -1.9217341047694823, -1.9217341047694654, 
  -1.9145990617428794, -1.9040832474771243, -1.884577645105258}}
{0.025, {-3.557715505842463, -3.4327155058424506, -3.391840984267582, 
  -3.3168409842675617, -3.295298111915873, -3.2702981119158596, 
  -2.8649137649678815, -2.7295405383133335, -2.6899137649678515, 
  -2.6347692345711615, -2.604540538313334, -2.5762552386674042, 
  -2.559769234571172, -2.551255238667394, -2.412421629719584, 
  -2.412421629719578, -2.337421629719578, -2.3374216297195733, 
  -2.3246389734296904, -2.324638973429684, -2.2996389734296914, 
  -2.2996389734296776, -1.9970776451052743, -1.9970776451052565, 
  -1.9820990617428749, -1.929234104769467, -1.9292341047694639, 
  -1.9070990617428736, -1.90658324747712, -1.8815832474771297}}
{0.03, {-3.5702155058424867, -3.4202155058424735, -3.399340984267577, 
  -3.309340984267575, -3.2977981119158972, -3.2677981119158632, 
  -2.882413764967918, -2.742040538313353, -2.67241376496786, 
  -2.642269234571157, -2.5920405383133325, -2.5787552386673926, 
  -2.552269234571165, -2.5487552386673924, -2.4199216297195805, 
  -2.419921629719577, -2.3299216297195793, -2.3299216297195726, 
  -2.327138973429698, -2.3271389734296886, -2.297138973429696, 
  -2.2971389734296923, -2.0095776451052654, -2.009577645105262, 
  -1.9895990617428723, -1.936734104769478, -1.9367341047694664, 
  -1.9090832474771269, -1.8995990617428813, -1.884020542085476}}
