{0., {-8.200000000000026, -7.700000000000088}}
{0.02, {-8.195000000000022, -7.705116738485156}}
{0.04, {-8.190000000000072, -7.710456940420699}}
{0.06, {-8.185000000000047, -7.716007270510856}}
{0.08, {-8.180000000000051, -7.721756318307128}}
{0.1, {-8.175000000000013, -7.727694251392974}}
{0.12, {-8.170000000000012, -7.733812529413717}}
{0.14, {-8.165000000000061, -7.7401036706257305}}
{0.16, {-8.160000000000046, -7.7465610623944565}}
{0.18, {-8.155000000000054, -7.7531788077947805}}
{0.2, {-8.150000000000034, -7.75995160153638}}
{0.22, {-8.145000000000058, -7.766874629558717}}
{0.24, {-8.14000000000004, -7.7739434876679345}}
{0.26, {-8.13500000000004, -7.781154115473964}}
{0.28, {-8.13000000000001, -7.788502742624992}}
{0.3, {-8.125000000000043, -7.795985844936928}}
{0.32, {-8.120000000000013, -7.803600108500456}}
{0.34, {-8.115000000000027, -7.811342400233224}}
{0.36, {-8.110000000000019, -7.819209743652174}}
{0.38, {-8.104999999999984, -7.827199298885593}}
{0.4, {-8.099999999999993, -7.83530834613618}}
{0.42, {-8.094999999999995, -7.843534271961457}}
{0.44, {-8.089999999999996, -7.851874557859442}}
{0.46, {-8.08499999999999, -7.860326770744671}}
{0.48, {-8.079999999999984, -7.868888554978344}}
{0.5, {-8.074999999999967, -7.877557625678}}
{0.52, {-8.070000000000016, -7.886331763082888}}
{0.54, {-8.06500000000002, -7.895208807792094}}
{0.56, {-8.060000000000022, -7.904186656724343}}
{0.58, {-8.055000000000016, -7.913263259675792}}
{0.6, {-8.050000000000015, -7.922436616374398}}
{0.62, {-8.044999999999998, -7.931704773945155}}
{0.64, {-8.04000000000002, -7.9410658247180805}}
{0.66, {-8.035000000000013, -7.950517904319706}}
{0.68, {-8.030000000000028, -7.960059190000983}}
{0.7000000000000001, {-8.024999999999984, -7.969687899161513}}
{0.72, {-8.020000000000003, -7.979402288036841}}
{0.74, {-8.015000000000036, -7.989200650521582}}
{0.76, {-8.01000000000001, -7.999081317105164}}
{0.78, {-8.009042653901755, -8.004999999999995}}
{0.8, {-8.019083061757678, -8.00000000000002}}
{0.8200000000000001, {-8.029200975424109, -7.995}}
{0.84, {-8.03939486278333, -7.990000000000027}}
{0.86, {-8.049663224120371, -7.985000000000029}}
{0.88, {-8.060004591431703, -7.979999999999989}}
{0.9, {-8.07041752776585, -7.975000000000033}}
{0.92, {-8.080900626589196, -7.969999999999994}}
{0.9400000000000001, {-8.091452511175428, -7.965000000000024}}
{0.96, {-8.102071834012122, -7.96000000000002}}
{0.98, {-8.112757276224658, -7.9550000000000285}}
{1., {-8.12350754701287, -7.950000000000028}}
